record_id,language,concept,form,channel,status,reason,source,current_tranche_applicability
APR-ADV-001,ar,modulus,مودول,adverse,retain,"Module/modul collision in the probed context; do not count as modulus support. The surface form occurs in P06-S0005 only in the module sense.","research_department/LANE_HANDOFFS/ARABIC_PERSIANATE_RTL.md","present as module; trap enforced"
APR-ADV-002,ar,ground form,شكل أساسي,adverse,retain,"Generic basic/fundamental form hit; intended invariant-theory sense is not established.","research_department/LANE_HANDOFFS/ARABIC_PERSIANATE_RTL.md",not present
APR-HOLD-003,ar,ganze rationale Funktion,الدالة النسبية الصحيحة,veto,hold promotion,"Historical German sense needs a modern Arabic gloss decision; current form is a close working rendering only.","Noether Paper 06 P06-S0004",present
APR-HOLD-004,fa-IR,ganze rationale Funktion,تابع گویای صحیح,veto,hold promotion,"Historical German sense needs a modern Persian gloss decision; current form is a close working rendering only.","Noether Paper 06 P06-S0004",present
APR-VETO-005,multilingual,shared Arabic-script spelling,,veto,standing,"A shared spelling does not transfer living-language evidence between Arabic and Persianate targets.","research department lane handoff",standing
APR-HOLD-006,ar,module basis,أساس المودول,veto,hold promotion,"Working module-sense rendering; Arabic module terminology remains variable and lacks localized row-verified evidence.","Noether Paper 06 P06-S0005",present
APR-HOLD-007,fa-IR,module basis,پایهٔ مدولی,veto,hold promotion,"Working Iranian-Persian rendering; recovered module evidence is concept-shelf only until page context is inspected.","Noether Paper 06 P06-S0005",present
APR-HOLD-008,ar,involution basis,أساس الإنفولوشن,veto,hold promotion,"Historical projective-geometric term is transliterated to preserve identity pending source-aware Arabic review.","Noether Paper 06 P06-S0006",present
APR-HOLD-009,ar,typical representation of invariants,التمثيل النمطي للثوابت,veto,hold promotion,"Historical invariant-theory Darstellung; must not be silently reinterpreted as modern representation theory.","Noether Paper 06 P06-S0006",present
APR-HOLD-010,ar,whole rational representability,قابلية التمثيل النسبي الصحيح,veto,hold promotion,"Close historical rendering; modern polynomial-expression gloss remains unresolved.","Noether Paper 06 P06-S0007",present
APR-HOLD-011,ar,relatively integral function,الدالة الصحيحة نسبيًا,veto,hold promotion,"Historical relativ-ganz sense; do not silently collapse into integer-valued function or analytic integrality.","Noether Paper 06 P06-S0010",present
APR-HOLD-012,ar,integrality basis,أساس تكاملي,veto,hold promotion,"Working form tied to integral-domain terminology; modern Arabic algebra usage and possible calculus collision require independent review.","Noether Paper 06 P06-S0010/P06-S0014",present
APR-HOLD-013,ar,integrality,التكاملية,veto,hold promotion,"Historical Ganzzahligkeit sense must remain distinct from analytic integration and from the narrower integral-domain label.","Noether Paper 06 P06-S0011",present
APR-HOLD-014,ar,Lagrange genus domain,نطاقات الأجناس اللاغرانجية,veto,hold promotion,"Historical Gattungsbereich compound is rendered compositionally; no Arabic specialist witness or native review is present.","Noether Paper 06 P06-S0013",present
APR-HOLD-015,ar,whole rational combination,على صورة كثيرة حدود في المجموعة المنتهية,veto,hold promotion,"The reader text makes the polynomial-expression sense explicit; independent source-aware Arabic review remains absent.","Noether Paper 06 P06-S0010",present
APR-HOLD-016,ar,field characteristic,الخاصية,veto,hold promotion,"Internally preferred over bare المميز to avoid a discriminant collision; native house-register review is absent.","Noether Paper 06 P06-S0015",present
