date,event,scope,effect,resolution,status
2026-08-13,LOCAL_PARTIAL_CLONE_COULD_NOT_SERVE_MISSING_OBJECT,initial bare-repository scaffold,no source or target work changed,removed only newly created incomplete openlogic directory after absolute-path containment check then cloned official repository directly,RESOLVED
2026-08-13,PINNED_FONT_RELATIVE_PATH_ONE_LEVEL_SHORT,OLP-0001 Arabic and Persian first build,both first passes stopped before PDF output,corrected ../../00_control to ../../../00_control in both isolated wrappers; target prose unchanged,RESOLVED_PENDING_REPLAY
2026-08-13,PINNED_FONT_PATH_REPLAY_SUCCEEDED,OLP-0001 Arabic and Persian isolated builds,two serial LuaLaTeX passes completed for each locale with one-page PDFs,retained exact build logs and continued static render extraction and independent replay QA,RESOLVED
2026-08-13,UPSTREAM_LICENSE_SENTENCE_CORRUPTED_IN_BOTH_WORKTREES,pinned Open Logic LICENSE.md in ar and fa-IR worktrees,workflow-status words had replaced part of the phrase rights holders,restored the exact Git-controlled upstream sentence in both worktrees and verified git diff is empty; target prose unchanged,RESOLVED
2026-08-13,ARABIC_PDF_METADATA_EMPTY,OLP-0001 Arabic isolated PDF,title and author metadata were blank although the visible heading and outline were localized,added localized pdftitle and pdfauthor in locale infrastructure then rebuilt twice and replayed render and extraction QA,RESOLVED
2026-08-13,CODEX_PDFTOPPM_WRAPPER_FAILED_AFTER_SUCCESSFUL_AR_BUILD,OLP-0001 Arabic render replay,compiled PDF and copied build evidence were intact but the command-wrapper invocation returned path-not-found,used the exact bundled native Poppler executable; rendered page passed visual inspection; no source or PDF content change,RESOLVED
2026-08-13,STALE_FA_ATTRIBUTION_BUILD_STATUS,OLP-0001 Persian attribution metadata,reader-independent attribution still said the unit had not been compiled after successful build and QA,updated metadata to cite the exact build receipt and honest independent-AI versus human-review state; target prose and PDF unchanged,RESOLVED
2026-08-13,LICENSE_CORRUPTION_REAPPEARED_DURING_CONCURRENT_QA,pinned LICENSE.md in both worktrees,the same workflow phrase was again present after concurrent read-only QA completed,restored exact Git-controlled text after all QA workers stopped; verified zero LICENSE.md diff before admission,RESOLVED
2026-08-13,UNIT_CHECKER_ASSUMED_SOURCE_COMMIT_MUST_EQUAL_BRANCH_HEAD,OLP-0001 paired static replay,the checker failed immediately after valid translation commits advanced each target branch,changed the checker to require the pinned source commit as an ancestor plus exact branch committed-target and source-hash checks,RESOLVED
2026-08-13,LOCALE_CONTROL_SPACE_REPRESENTED_AS_TRAILING_WHITESPACE,OLP-0001 Arabic and Persian locale boilerplate,git diff hygiene rejected an intentional TeX control-space in each locale,replaced each with TeX-equivalent `\space`; rebuilt twice; rerendered; extraction remained byte-identical; updated hashes and receipts,RESOLVED
2026-08-13,OLP0002_CHECKER_EXPECTED_FOUR_EDITORIAL_PARAGRAPHS,OLP-0002 paired static replay,the source actually has three blank-line-delimited editorial paragraphs and both targets preserve all three,corrected the source-derived oracle to three; exact command and semantic checks then passed,RESOLVED
2026-08-13,OLP0005_CHECKER_FUNCTION_CALL_PRECEDENCE,OLP-0005 paired static replay,PowerShell passed an object array to the Boolean assertion because function calls inside join expressions were not parenthesized,parenthesized all three function results and replayed both locale checks successfully,RESOLVED
2026-08-13,OUTPUT_DIRECTORY_VARIABLE_PASSED_LITERAL,OLP-0005 first Arabic build,the first LuaLaTeX call created a literal directory named `$arBuild` under the source unit,verified the exact workspace-contained path then deleted only that reproducible directory and rebuilt into the intended absolute output path,RESOLVED
2026-08-13,PERSIAN_DEBUG_MARGINNOTE_BIDI_FAILURE,OLP-0005 first Persian build,upstream standalone debug margin notes formed a protected bidi page-number value inside a csname and stopped before PDF output,omitted the non-reader debug package from both localized reader wrappers and cleanly rebuilt both locales twice,RESOLVED
2026-08-13,ARABIC_ABOUT_METADATA_WAS_LOCALE_GLOBAL,Arabic OLP-0001 and OLP-0005 build layer,the locale config would have mislabeled every Arabic PDF with the About title,moved About metadata into its driver and added unit-specific OLP-0005 metadata; rebuilt both PDFs and verified unchanged renders and extractions,RESOLVED
2026-08-13,PRIOR_NATIVE_PDFTOTEXT_PATH_ABSENT,OLP-0005 extraction replay,the previously observed bundled native pdftotext path was not present in the current dependency bundle,used the installed MiKTeX pdftotext executable and retained exact extraction hashes,RESOLVED
2026-08-13,OLP0006_SOURCE_HASH_TRANSCRIPTION_LOST_ONE_B,OLP-0006 dispatch controls,a manually transcribed 63-character locator appeared in several control files while the manifest retained the correct source hash,rehash-verified the source and corrected every live control to 5D982F62C40325CF75DA4517ADD45CA073E23FB9463CFB3ADFB9AAFBB8582E46 before admission,RESOLVED
2026-08-13,ARABIC_OLP0006_SUBPOINT_OVERFULL,OLP-0006 first Arabic build,a faithful question wording exceeded the line by 0.72131pt,shortened it to an equivalent formal-MSA wording then rebuilt twice and reran static semantic and visual QA,RESOLVED
2026-08-13,PERSIAN_STABLE_COUNTER_VISUALLY_REVERSED,OLP-0006 first Persian render,bidi ordering displayed stable Latin counter set.1 as 1.set,isolated complete section theorem and problem counter strings with babelsublr then rebuilt rendered and independently replayed; target prose hash unchanged,RESOLVED
2026-08-13,PERSIAN_COUNTER_LANGUAGE_SWITCH_FAILED_IN_THEOREM,OLP-0006 wrapper remediation attempt,using the broader olFaLTR language-switch helper inside theorem counters caused a fatal item parsing error before PDF output,replaced it with the narrower babelsublr direction primitive and rebuilt cleanly; failed output was not admitted,RESOLVED
2026-08-13,OLP0007_QA_CHECKER_REGEX_ESCAPING,OLP-0007 first shared static replay,the newly written checker underescaped TeX backslashes and then compared localized math-text payloads bytewise,corrected the regex escapes and normalized only the five localized text payloads before exact formula comparison; target files unchanged,RESOLVED
2026-08-13,PERSIAN_OLP0007_NONEMPTY_OVERSTATEMENT,OLP-0007 first Persian semantic replay,the opening said the sets have elements and thereby added non-emptiness absent from the source,replaced it with the exact claim that every element in them is a mathematical object; independent replay and full build/render passed,RESOLVED
2026-08-13,PERSIAN_OLP0008_TEXT_TOKEN_OMISSION,OLP-0008 first shared static replay,the Persian sentence preserved the proposition but omitted one upstream Open Logic element-token occurrence,restored the exact token and reran the 213-command 27-token and 72-math-segment oracle plus independent semantic replay,RESOLVED
2026-08-13,OLP0008_OUTPUT_DIRECTORY_VARIABLE_PASSED_LITERAL,OLP-0008 first Arabic build,PowerShell passed the output variable name literally and created a reproducible directory named `$out` inside the source-unit directory,verified the exact workspace-contained directory deleted only that scratch output and rebuilt through quoted absolute output arguments,RESOLVED
2026-08-13,OLP0008_STANDALONE_REFERENCE_UNRESOLVED,OLP-0008 first Arabic build,the standalone unit could not resolve its reference to the already accepted Extensionality section,declared OLP-0005 as the exact xr build dependency and replayed both locales without undefined references,RESOLVED
2026-08-13,OLP0008_SECTION_NAME_ENGLISH,OLP-0008 first visual replay,the imported cleveref section label rendered reader-facing English Section in both otherwise localized PDFs,added lower- and upper-case section names to each language locale then rebuilt and visually replayed all pages,RESOLVED
2026-08-13,OLP0008_EXTERNAL_REFERENCE_FALSE_INTERNAL_DESTINATION,OLP-0008 hyperlink replay,suppressing xr's external file URL turned the prior-section reference into a misleading internal GoTo action because standalone destination names coincided,restored the remote PDF target and verified one exact GoToR plus three internal figure GoTo actions per locale,RESOLVED
2026-08-13,CUMULATIVE_AR_GRAPHICAL_LICENSE_BIDI_RECURSION,Arabic cumulative reader first integration build,the redundant upstream graphical ollicense box exhausted the TeX input stack inside a bidi hyperlink and produced no PDF,retained the complete plain-text CC BY attribution modification and no-endorsement notice and removed only the redundant graphical box; final 13-page source-bound build and full visual/link replay passed,RESOLVED
2026-08-13,CUMULATIVE_FA_THMTOOLS_PERSIAN_CHAPTER_COMPARE,Persian cumulative reader integration build,thmtools list-of-theorems spacing code compared a saved typeset Persian chapter representation as an integer and failed at the second theorem-like environment,disabled only the unused list-of-theorems chapter-spacing hook while retaining theorem numbering headings labels and bidi isolation; final six-pass build and independent release replay passed,RESOLVED
2026-08-13,CUMULATIVE_TITLE_BCP47_PARENTHESES_MIRRORED,both cumulative title pages at first complete-page visual replay,the neutral parentheses around ar and fa-IR rendered in reverse visual order,removed the unnecessary parentheses and retained each exact BCP-47 tag as an isolated LTR run; all 26 release pages passed visual replay,RESOLVED
2026-08-13,CUMULATIVE_FA_CHAPTER_COUNTERS_VISUALLY_REVERSED,Persian cumulative pages and TOC at first complete-page visual replay,chapter-relative section theorem problem and figure counters displayed component order reversed such as 10.1 for 1.10,defined each visible counter from raw chapter and local integers inside one LTR isolation; final .thm sequence 1.1 through 1.29 and independent 240-dpi sentinel replay passed,RESOLVED
2026-08-13,CUMULATIVE_PDF_AUDIT_CONSOLE_CODEPAGE,Arabic frozen-release audit console only,the deterministic JSON audit was written but printing Arabic metadata to the Windows cp1252 console raised UnicodeEncodeError,reconfigured the audit script stdout to UTF-8 and reran both frozen locale audits; PDFs and target sources unchanged,RESOLVED
